id,district_name,lat,long
1,Bagerhat,22.6516,89.7859
2,Bandarban,22.1953,92.2184
3,Barguna,22.0953,90.1121
4,Barisal,22.7010,90.3535
5,Bhola,22.6859,90.6482
6,Bogura,24.8465,89.3778
7,Brahmanbaria,23.9571,91.1119
8,Chandpur,23.2333,90.6713
9,Chapainawabganj,24.5965,88.2775
10,Chattogram,22.3351,91.8341
11,Chuadanga,23.6402,88.8418
12,Comilla,23.4683,91.1788
13,Coxsbazar,21.4432,91.9738
14,Dhaka,23.7115,90.4111
15,Dinajpur,25.6217,88.6355
16,Faridpur,23.6071,89.8429
17,Feni,23.0232,91.3841
18,Gaibandha,25.3288,89.5281
19,Gazipur,24.0023,90.4264
20,Gopalganj,23.0051,89.8266
21,Habiganj,24.3749,91.4155
22,Jamalpur,24.9375,89.9378
23,Jashore,23.1664,89.2081
24,Jhalakathi,22.5721,90.1870
25,Jhenaidah,23.5448,89.1539
26,Joypurhat,25.0964,89.0400
27,Khagrachhari,23.1193,91.9847
28,Khulna,22.8158,89.5687
29,Kishoreganj,24.4449,90.7766
30,Kurigram,25.8054,89.6362
31,Kushtia,23.9013,89.1205
32,Lakshmipur,22.9425,90.8412
33,Lalmonirhat,25.9162,89.4506
34,Madaripur,23.1641,90.1897
35,Magura,23.4873,89.4200
36,Manikganj,23.8644,90.0047
37,Meherpur,23.7622,88.6318
38,Moulvibazar,24.4829,91.7774
39,Munshiganj,23.5422,90.5305
40,Mymensingh,24.7466,90.4072
41,Naogaon,24.8326,88.9249
42,Narail,23.1725,89.5127
43,Narayanganj,23.6337,90.4965
44,Narsingdi,23.9322,90.7154
45,Natore,24.4206,89.0003
46,Netrokona,24.8710,90.7279
47,Nilphamari,25.9318,88.8560
48,Noakhali,22.8696,91.0994
49,Pabna,23.9985,89.2336
50,Panchagarh,26.3411,88.5542
51,Patuakhali,22.3596,90.3299
52,Pirojpur,22.5791,89.9759
53,Rajbari,23.7574,89.6445
54,Rajshahi,24.3723,88.5631
55,Rangamati,22.6556,92.1754
56,Rangpur,25.7558,89.2445
57,Satkhira,22.7185,89.0705
58,Shariatpur,23.2423,90.4348
59,Sherpur,25.0205,90.0153
60,Sirajganj,24.4534,89.7007
61,Sunamganj,25.0658,91.3950
62,Sylhet,24.8898,91.8698
63,Tangail,24.2636,89.9179
64,Thakurgaon,26.0337,88.4617
